nama_kos,lokasi,kota,harga,tipe_kos,Kasur,AC,WiFi,K. Mandi Dalam,Kloset Duduk,Lemari,Meja,Dapur,Parkir Motor,Parkir Mobil,Mesin Cuci,Laundry,Akses 24 Jam,Air Panas
Kost Sumber Rejeki Selatan,Pondok Aren,Surabaya,Rp900.000,Campur,Ada,Tidak,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost The Rajwa Bintaro Selatan,Pondok Aren,Surabaya,Rp1.500.000,Putri,Ada,Ada,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Hepi Golaq Tipe A,Pondok Aren,Surabaya,Rp1.200.000,Putra,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Orange,Pondok Aren,Surabaya,Rp750.000,Putra,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Grand Living Stan,Kecamatan Pondok Aren,Surabaya,Rp1.500.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Azka Tipe A1,Ciputat Timur,Surabaya,Rp1.200.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Griya Tentrem Bintaro Tipe C,Pondok Aren,Surabaya,Rp956.000,Campur,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Kamila Sawah Baru Tipe A,Ciputat,Surabaya,Rp1.674.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Bu Neneng Tipe 1,Pondok Aren,Surabaya,Rp1.200.000,Putri,Ada,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Asri,Ciputat,Surabaya,Rp1.000.000,Putri,Ada,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Pondok Jaya Bintaro,Pondok Aren,Surabaya,Rp1.250.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Ini Tipe A,Ciputat,Surabaya,Rp2.100.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Hernawan Tipe B,Kecamatan Ciputat,Surabaya,Rp1.350.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Al Izzah Tipe C,Kecamatan Pondok Aren,Surabaya,Rp385.000,Putra,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Fatimah,Pondok Aren,Surabaya,Rp800.000,Putri,Ada,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Ibu Noi Tipe A,Kecamatan Pondok Aren,Surabaya,Rp1.000.000,Putri,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Kasira Residence Bintaro Deluxe,Ciputat Timur,Surabaya,Rp5.500.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost White House,Ciputat Timur,Surabaya,Rp1.050.000,Putri,Ada,Tidak,Tidak,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Haji Uwin,Kecamatan Ciputat Timur,Surabaya,Rp800.000,Putra,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Griya Arnay 1,Kecamatan Ciputat,Surabaya,Rp1.200.000,Campur,Tidak,Tidak,Tidak,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Rumah Ibu Tipe Ac,Kecamatan Pondok Aren,Surabaya,Rp1.300.000,Putri,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Bunda Aya,Kecamatan Ciputat,Surabaya,Rp1.600.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Btx 31,Ciputat,Surabaya,Rp1.800.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Cendana Bintaro Jaya Sektor 9 Tipe A,Pondok Aren,Surabaya,Rp2.000.000,Putra,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Mawar 88 Tipe B Premium,Pondok Aren,Surabaya,Rp2.400.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Mawar 88 Tipe A1,Pondok Aren,Surabaya,Rp2.250.000,Campur,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost Gemiini House Standart,Kecamatan Ciputat Timur,Surabaya,Rp1.450.000,Putra,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ada,Tidak
Kost House Of Tamara Tipe C,Pondok Aren,Surabaya,Rp1.400.000,Campur,Ada,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
Kost Dedaun STAN Bintaro Sektor 5,Pondok Aren,Surabaya,Rp1.500.000,Putra,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak
